NPA,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2011 Raw,2013 Raw,2015 Raw,2016 Raw,2017 Raw,2018 Raw,2019 Raw,2020 Raw,2021 Raw,2022 Raw
134,"6","5","5","9","9","5","8","5","3","5","5","6","6","11","11","6","9","6","4","6"
135,"11","7","9","13","15","13","11","14","9","13","14","9","12","17","19","16","14","18","12","17"
136,"0","1","1","2","2","0","2","3","2","2","0","2","2","4","5","1","4","7","5","4"
137,"3","3","6","4","6","9","8","5","8","6","5","5","10","7","11","16","20","12","19","14"
138,"30","27","42","55","48","50","62","40","60","62","21","21","32","42","37","38","48","31","47","48"
139,"7","7","10","8","11","9","15","9","11","13","11","12","16","14","19","15","23","13","16","20"
140,"4","6","9","7","8","11","9","9","8","7","10","17","26","20","23","31","25","26","24","20"
141,"22","25","28","32","30","26","31","35","27","36","19","25","27","31","29","25","25","28","22","29"
142,"5","7","5","9","8","7","5","7","11","9","11","19","13","24","22","19","15","19","30","26"
143,"0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2"
144,"--","10","6","--","--","8","1","0","0","--","0","21","13","0","0","17","2","0","0","0"
145,"--","3","5","--","--","4","3","3","3","--","0","5","9","0","0","7","7","7","7","0"
146,"2","6","4","2","3","4","6","9","4","1","3","10","7","3","6","7","13","19","9","3"
147,"10","3","6","7","6","6","5","7","7","4","20","6","15","16","14","14","14","17","17","10"
148,"0","0","1","0","1","0","0","0","0","0","0","1","2","0","2","1","0","0","0","0"
149,"2","3","0","0","1","0","1","0","0","1","1","2","0","0","1","0","1","0","0","1"
150,"2","2","3","1","3","2","8","3","5","4","4","4","6","1","5","3","16","7","10","8"
151,"1","1","0","0","0","0","1","1","1","1","2","3","1","1","1","0","2","4","3","2"
152,"0","1","2","4","6","1","1","3","1","4","0","1","2","3","5","1","1","3","1","4"
153,"1","2","2","2","2","1","2","1","3","2","2","7","6","9","6","5","9","5","11","9"
154,"1","2","0","1","1","4","2","2","2","2","4","6","1","3","3","12","5","5","5","5"
155,"1","2","1","1","4","2","3","4","4","4","3","5","2","3","14","7","11","13","16","16"
156,"3","3","2","4","3","3","3","3","5","3","9","11","6","16","12","11","11","12","21","13"
157,"37","39","44","26","40","58","36","37","31","32","56","68","54","34","52","75","55","56","48","49"
158,"3","7","7","9","8","10","9","9","10","6","11","26","25","32","29","37","33","33","38","23"
159,"11","16","15","16","14","9","9","9","17","15","10","17","16","18","17","11","10","10","18","16"
160,"4","4","10","9","9","6","11","11","14","10","11","11","29","27","26","18","33","31","39","30"
161,"4","1","2","3","1","3","4","4","4","3","10","3","6","7","4","7","10","10","11","8"
162,"5","4","6","5","6","6","3","6","2","6","10","8","11","10","12","12","6","12","3","12"
163,"4","6","6","11","8","9","13","6","14","7","3","5","5","10","7","13","20","9","22","10"
164,"16","17","13","18","16","14","18","15","14","11","59","80","61","85","75","64","88","71","69","55"
165,"8","6","8","8","6","6","12","13","8","5","16","14","19","19","14","15","25","26","17","10"
166,"5","4","14","6","16","14","13","14","9","6","5","5","18","8","21","18","16","18","11","8"
167,"10","11","11","10","12","6","12","3","1","7","8","9","9","8","10","5","9","2","1","5"
168,"3","5","6","4","6","8","12","8","4","9","4","8","9","7","10","13","17","11","6","13"
169,"1","0","0","0","1","0","0","1","0","1","2","1","1","0","2","0","0","3","0","2"
170,"0","1","0","0","1","2","1","0","1","1","0","1","0","0","2","3","2","0","1","2"
171,"4","1","1","1","3","1","7","6","6","5","3","1","1","1","3","1","8","7","7","5"
172,"0","1","1","1","0","1","0","0","1","1","1","3","3","2","1","4","1","2","4","6"
173,"2","8","13","12","6","7","3","3","12","3","2","9","15","14","7","8","4","4","14","4"
174,"3","4","3","5","4","3","5","3","3","4","4","7","5","9","7","5","8","5","5","7"
175,"1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","2","0","0","0","0"
176,"0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","4","1","1","0","1"
177,"1","0","1","0","0","0","1","0","0","0","2","0","1","0","0","1","2","1","0","0"
178,"5","4","3","4","4","4","4","5","5","5","9","8","7","10","10","11","14","15","17","17"
179,"0","0","0","0","1","1","1","0","1","0","0","0","0","0","2","1","1","0","2","0"
180,"7","2","4","3","5","5","6","2","4","3","8","3","6","4","7","7","10","3","6","4"
181,"0","1","1","1","1","0","0","1","0","1","1","2","2","2","2","1","1","3","0","2"
182,"15","12","21","23","18","10","21","24","26","14","11","9","16","18","14","8","15","17","18","10"
183,"4","2","3","3","3","5","4","6","9","6","3","2","3","3","3","4","4","5","8","5"
184,"0","1","0","1","1","1","1","0","3","1","0","2","0","1","2","2","2","0","4","1"
185,"4","4","6","4","4","6","7","8","11","5","10","11","17","12","13","17","20","23","29","14"
186,"3","5","5","4","4","5","6","6","5","4","6","12","12","11","11","13","14","15","12","10"
187,"0","1","0","2","1","0","1","1","1","0","0","1","0","2","1","0","1","1","1","0"
188,"1","1","0","1","1","0","0","0","1","1","2","1","0","1","2","0","0","0","2","3"
189,"0","1","3","0","1","0","2","1","0","1","0","1","3","0","1","0","2","1","0","1"
190,"8","3","8","10","8","8","23","9","10","9","7","3","8","10","8","8","24","10","11","9"
191,"0","1","1","1","1","1","2","1","4","3","1","2","3","2","3","3","4","3","9","6"
192,"3","4","4","5","7","1","3","5","4","3","5","8","9","14","19","4","10","16","12","11"
193,"3","1","0","2","6","1","0","1","1","1","4","1","0","3","8","1","0","1","1","1"
194,"--","1","1","0","0","--","--","--","--","--","0","2","2","1","0","0","0","0","0","0"
195,"1","2","1","1","2","1","1","2","4","3","3","5","3","2","5","3","5","8","16","10"
196,"5","6","6","6","5","6","6","4","6","9","10","14","14","14","11","13","15","9","13","20"
197,"3","3","3","4","7","4","4","5","6","3","8","7","7","10","18","11","10","12","14","8"
198,"2","1","2","2","2","2","2","1","2","4","2","1","3","3","3","3","3","2","4","6"
199,"10","11","21","17","17","15","20","11","18","19","27","32","64","52","53","48","52","29","45","50"
200,"12","11","17","13","8","6","13","8","7","11","7","6","10","8","9","7","12","7","6","10"
201,"0","0","0","0","1","0","0","0","0","0","0","1","0","0","2","1","1","1","0","1"
202,"8","8","6","6","6","6","6","5","7","6","18","18","13","13","14","15","12","10","16","12"
203,"0","1","1","1","0","0","2","1","0","1","0","2","1","1","0","1","5","2","1","2"
204,"2","1","1","4","1","2","3","3","3","3","2","2","1","5","2","3","5","4","4","4"
205,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0"
206,"2","1","0","1","0","1","3","1","0","1","2","1","0","2","0","1","4","1","0","1"
207,"1","1","1","4","4","2","3","3","6","7","2","3","2","11","14","6","10","11","19","22"
208,"0","0","1","1","0","1","0","0","0","1","0","0","2","1","0","2","0","1","0","2"
